,intent,example
0,thanks,بسیار ممنونم
1,thanks,تشکر می‌کنم
2,thanks,قدردانی می‌کنم
3,thanks,متشکرم
4,thanks,از شما سپاسگزارم
5,thanks,بابت تلاش‌های شما متشکرم
6,thanks,سپاس
7,thanks,تشکر می‌کنم از زحمات شما
8,thanks,از کمک شما متشکرم
9,thanks,ممنون از همکاری شما
10,thanks,سپاس از پیگیری شما
11,thanks,بسیار سپاسگزارم
12,thanks,بسیار ممنونم از همکاری شما
13,thanks,سپاسگزار تلاش‌های شما هستم
14,thanks,قدردان زحمات شما هستم
15,thanks,ممنون از کمک شما
16,thanks,تشکر بابت همراهی شما
17,thanks,بسیار سپاسگزار تلاش‌های شما هستم
18,thanks,از همکاری شما متشکرم
19,thanks,تشکر از حسن توجه شما
20,thanks,از پیگیری‌های شما ممنونم
21,thanks,از زحمات شما سپاسگزارم
22,thanks,بابت مساعدت شما ممنونم
23,thanks,تشکر فراوان از شما دارم
24,thanks,بابت همکاری شما سپاسگزارم
25,thanks,تشکر می‌کنم از مساعدت شما
26,thanks,سپاس بابت همراهی شما
27,thanks,از لطف شما متشکرم
28,thanks,بسیار قدردان همکاری شما هستم
29,thanks,تشکر می‌کنم از پیگیری شما
30,thanks,از شما بسیار سپاسگزارم
31,thanks,دستت درد نکنه
32,thanks,مرسی
33,thanks,واقعاً ممنون
34,thanks,خسته نباشی
35,thanks,مرسی از زحماتت
36,thanks,خیلی کمک کردی
37,thanks,خیلی قدردانم
38,thanks,لطف کردی
39,thanks,ممنون که زحمت کشیدی
40,thanks,از کمکت خیلی ممنونم
41,thanks,واقعاً سپاسگزارم
42,thanks,مرسی بابت پیگیریت
43,thanks,خیلی متشکرم
44,thanks,ممنون از محبتت
45,thanks,مرسی که هستی
46,thanks,ممنون بابت توجهت
47,thanks,خیلی لطف کردی، مرسی
48,thanks,خیلی ممنون از زحمتت
49,thanks,مرسی از همکاری‌ت
50,thanks,ممنون که کمک کردی
51,thanks,مرسی، خیلی لطف کردی
52,thanks,خیلی سپاسگزارم
53,thanks,واقعاً ممنون از وقتی که گذاشتی
54,thanks,خیلی چاکرتم
55,thanks,خیلی ممنون که کمکم کردی
56,thanks,سپاس از زحماتت
57,thanks,خیلی متشکرم از کمکت
58,thanks,تشکر
59,thanks,سپاسگزارم
60,thanks,خیلی ممنون
61,thanks,ممنون از کمکتون
62,thanks,تشکر می‌کنم
63,thanks,تشکر فراوان
64,thanks,ممنون بابت زحماتتون
65,thanks,سپاس
66,thanks,قدردانی می‌کنم
67,thanks,ممنون از پشتیبانی‌تون
68,thanks,ممنونم بابت همکاری‌تون
69,thanks,تشکر از شما
70,thanks,متشکرم
71,thanks,ممنونم، قدردانم
72,thanks,تشکر از پیگیری‌تون
73,thanks,سپاسگزارم بابت کمکتون
74,thanks,بسیار ممنونم
75,thanks,خیلی تشکر می‌کنم
76,thanks,مرسی از زحماتتون
77,thanks,ممنون از پاسخگویی‌تون
78,thanks,تشکر از همکاریتون
79,thanks,ممنون از پیگیری‌تون
80,thanks,ممنون از اطلاعاتی که دادید
81,thanks,خیلی ممنون از کمکتون
82,thanks,ممنون از توجه‌تون
83,thanks,تشکر از پاسختون
84,thanks,قدردانی از راهنمایی‌تون
85,thanks,ممنون از وقتی که گذاشتید
86,thanks,بسیار سپاسگزارم
87,thanks,تشکر فراوان از شما که به من کمک کردید و این موضوع را برایم توضیح دادید.
88,thanks,خیلی ممنونم که این مشکل را پیگیری کردید و جواب من را دادید، واقعاً ممنون.
89,thanks,تشکر می‌کنم از زحمات شما و توجهی که به این مسئله داشتید.
90,thanks,خیلی متشکرم از اینکه با صبر و حوصله به سوالات من پاسخ دادید و مرا راهنمایی کردید.
91,thanks,مرسی از اینکه وقت گذاشتید و این موضوع را برای من روشن کردید، واقعاً سپاسگزارم.
92,thanks,ممنون از پیگیری‌های شما و اینکه به من کمک کردید تا این مشکل را حل کنم.
93,thanks,تشکر می‌کنم از زحمات شما و راهنمایی‌های دقیقی که به من ارائه دادید.
94,thanks,خیلی ممنونم که به من کمک کردید و توضیحات لازم را دادید تا این مسئله را درک کنم.
95,thanks,خیلی متشکرم از اینکه با دقت و توجه به این موضوع رسیدگی کردید و جواب دادید.
96,thanks,ممنون از اینکه وقت گذاشتید و به من کمک کردید تا این مسئله را حل کنم، واقعاً ممنون.
97,thanks,تشکر فراوان از اینکه با صبر و حوصله به سوالات من پاسخ دادید و مرا راهنمایی کردید.
98,thanks,تشکر می‌کنم از اینکه با صبر و حوصله به من کمک کردید تا این مشکل را بفهمم.
99,thanks,بسیار سپاسگزارم از راهنمایی‌های شما و وقتی که برای من اختصاص دادید.
100,thanks,سپاسگزارم از اینکه به سوالات من با دقت و حوصله پاسخ دادید.
101,thanks,تشکر می‌کنم از زحمات شما و راهنمایی‌های دقیقی که به من ارائه دادید.
102,thanks,بسیار ممنونم از اینکه وقت گذاشتید و به من کمک کردید تا این مشکل را حل کنم.
103,thanks,خیلی متشکرم از توجه و دقتی که در پاسخگویی به سوالات من داشتید.
104,thanks,ممنون از پیگیری‌های شما و وقتی که برای من اختصاص دادید، واقعاً سپاسگزارم.
105,thanks,خیلی ممنونم که به من کمک کردید و توضیحات لازم را در اختیارم گذاشتید.
106,thanks,سپاسگزارم از زحمات شما و وقتی که برای من اختصاص دادید تا این مشکل را برطرف کنم.
107,thanks,تشکر فراوان از شما که به من کمک کردید و اطلاعات مفیدی در اختیارم گذاشتید.
108,thanks,خیلی متشکرم از اینکه وقت گذاشتید و این موضوع را برای من روشن کردید.
109,thanks,تشکر می‌کنم از زحمات شما و توجهی که به این مسئله داشتید، واقعاً ممنون.
110,thanks,بسیار سپاسگزارم از راهنمایی‌های شما و وقتی که برای من اختصاص دادید تا این مشکل را برطرف کنم.
111,thanks,تشکر
112,thanks,دست شما درد نکنه
113,thanks,دستتون درد نکنه متشکر
114,thanks,لطف کردی
115,thanks,خوب بود
116,thanks,سپاس گزارم
117,thanks,سپاسگزارم
118,thanks,یه دنیا ممنون
119,thanks,متشکرم
120,greeting_greet,چطور پیش می‌رود؟
121,greeting_greet,اوضاع چگونه است؟
122,greeting_greet,چه خبرهای جدیدی دارید؟
123,greeting_greet,تازه چه خبر؟
124,greeting_greet,چه اتفاقاتی افتاده است؟
125,greeting_greet,تازه‌ترین اخبار شما چیست؟
126,greeting_greet,خبرهای جدید چیست؟
127,greeting_greet,خبرهای جدید چیست؟
128,greeting_greet,خبرهای تازه‌ای دارید؟
129,greeting_greet,وضعیت فعلی چگونه است؟
130,greeting_greet,اوضاع چطور پیش می‌رود؟
131,greeting_greet,اخبار تازه‌ای دارید؟
132,greeting_greet,چه وقایعی رخ داده است؟
133,greeting_greet,جدیداً چه اتفاقی افتاده است؟
134,greeting_greet,چه اطلاعات جدیدی دارید؟
135,greeting_greet,چیز جدیدی برای گفتن دارید؟
136,greeting_greet,چه اطلاعاتی جدیدی دارید؟
137,greeting_greet,چه تغییراتی رخ داده؟
138,greeting_greet,تازه چه خبرهایی دارید؟
139,greeting_greet,جدیداً چه خبرهایی دارید؟
140,greeting_greet,اوضاع چطور است؟
141,greeting_greet,جدیداً چه تغییراتی رخ داده؟
142,greeting_greet,چه چیزی در حال وقوع است؟
143,greeting_greet,خبرهای جدید چیست؟
144,greeting_greet,چه اخبار تازه‌ای شنیده‌اید؟
145,greeting_greet,چه خبر؟
146,greeting_greet,چه می‌گذره؟
147,greeting_greet,چه خبرا؟
148,greeting_greet,چه کارا می‌کنی؟
149,greeting_greet,چه کنی؟
150,greeting_greet,جدیداً چه خبر؟
151,greeting_greet,چه چیز جدیدی داری؟
152,greeting_greet,چه کارا کردی؟
153,greeting_greet,چه اتفاقی افتاده؟
154,greeting_greet,چه می‌کنی؟
155,greeting_greet,اخبار تازه چیه؟
156,greeting_greet,چه خبرهای جدیدی داری؟
157,greeting_greet,اوضاع چطور پیش میره؟
158,greeting_greet,چه خبر تازه‌ای داری؟
159,greeting_greet,تازگی‌ها چه خبر؟
160,greeting_greet,چه چیز جدیدی شنیدی؟
161,greeting_greet,چه خبر خوشی داری؟
162,greeting_greet,این مدت چه کارا کردی؟
163,greeting_greet,چه کارای جالبی کردی؟
164,greeting_greet,چه وقایعی رخ داده؟
165,greeting_greet,چه چیز تازه‌ای تو راهه؟
166,greeting_greet,چه می‌گذره؟
167,greeting_greet,چی شده؟
168,greeting_greet,تازه چه خبر؟
169,greeting_greet,چه کارا می‌کنی؟
170,greeting_greet,اخبار جدید چیه؟
171,greeting_greet,چه تغییراتی بوده؟
172,greeting_greet,چطور پیش می‌ره؟
173,greeting_greet,جدیداً چه خبر؟
174,greeting_greet,چه وقایعی رخ داده؟
175,greeting_greet,چه چیز تازه‌ای هست؟
176,greeting_greet,چیا شنیدی؟
177,greeting_greet,چه کارای جدیدی کردی؟
178,greeting_greet,جدیداً چه کارا می‌کنی؟
179,greeting_greet,اوضاع چطور پیش می‌ره؟
180,greeting_greet,چه چیزای جالبی داری؟
181,greeting_greet,چه چیزای مهمی هست؟
182,greeting_greet,چه چیزای جدیدی تو دست داری؟
183,greeting_greet,اوضاع چه طوره؟
184,greeting_greet,چه چیزای تازه‌ای داری؟
185,greeting_greet,سلام، می‌خواستم بدونم چه خبرای جدیدی داری و این مدت چه اتفاقاتی افتاده که بخوای باهام در میون بذاری؟
186,greeting_greet,میشه لطفاً توضیح بدی که چه تغییرات جدیدی رخ داده و اوضاع چطوره؟
187,greeting_greet,خیلی وقت بود که ازت بی‌خبر بودم، تازه چه خبر؟
188,greeting_greet,میشه بگی این روزا چه کارایی انجام دادی و چه خبرایی داری؟
189,greeting_greet,توی این مدت که ندیدمت چه کارایی کردی و چه خبرایی داری؟
190,greeting_greet,چند وقتیه که از هم خبر نداریم، اوضاع چطوره و چه کارایی کردی؟
191,greeting_greet,میشه بگی چه اتفاقاتی افتاده و چه برنامه‌هایی داری؟
192,greeting_greet,دوست دارم بدونم چه چیزای جدیدی رو تجربه کردی و چه خبرایی داری؟
193,greeting_greet,خیلی وقته ندیدمت، تازه چه کارایی کردی و چه خبرایی داری؟
194,greeting_greet,توی این مدت که ازت بی‌خبر بودم چه تغییراتی پیش اومده؟
195,greeting_greet,چه خبرای مهمی داری که بخوای باهام در میون بذاری؟
196,greeting_greet,میشه بگی توی این مدت چه کارایی کردی و چه خبرایی داری؟
197,greeting_greet,خیلی وقته ندیدمت، چه کارایی کردی و چه خبرای جدیدی داری؟
198,greeting_greet,چه تغییرات جدیدی پیش اومده که بخوای بگی؟
199,greeting_greet,توی این مدت چه کارایی کردی و چه اتفاقاتی افتاده؟
200,greeting_greet,دوست دارم بدونم چه چیزای جدیدی رو تجربه کردی و چه خبرایی داری؟
201,greeting_greet,چه کارای جدیدی انجام دادی و چه برنامه‌هایی داری؟
202,greeting_greet,تازه چه خبر؟ چه کارایی کردی؟
203,greeting_greet,توی این مدت چه اتفاقاتی افتاده و چه کارایی کردی؟
204,greeting_greet,دوست دارم بدونم چه چیزای جدیدی رو تجربه کردی و چه برنامه‌هایی داری؟
205,greeting_greet,چه تغییرات جدیدی رخ داده که بخوای بگی؟
206,greeting_greet,خیلی وقته ندیدمت، تازه چه کارایی کردی و چه خبرایی داری؟
207,greeting_greet,میشه بگی این مدت چه تغییراتی پیش اومده و اوضاع چطوره؟
208,greeting_greet,چه خبرای جدیدی داری که بخوای باهام در میون بذاری؟
209,greeting_greet,توی این مدت که ازت بی‌خبر بودم، چه کارایی کردی و چه خبرایی داری؟
210,greeting_greet,چخبرا
211,greeting_greet,چه خبر ها
212,greeting_greet,حالت خوبه
213,greeting_greet,احوالت چطوره
214,greeting_greet,اصل حالت چطوره
215,greeting_greet,اوضاع احوال خوبه
216,greeting_greet,اوضاع خوبه
217,greeting_greet,اوضاع رو به راهه
218,greeting_greet,اوضاع رو براهه
219,greeting_greet,حال شما خوبه
220,greeting_greet,حالت خوبه
221,greeting_greet,حالت چطوره
222,greeting_greet,خوبی
223,greeting_greet,خوبی عزیزم
224,greeting_greet,خوش میگذره
225,greeting_greet,خوشی
226,greeting_greet,ردیفی
227,greeting_greet,رو به راهی
228,greeting_greet,رو به رشدی
229,greeting_greet,سر حالی
230,greeting_greet,سر کیفی
231,greeting_greet,سلامتی
232,greeting_greet,سلامتی
233,greeting_greet,سلامتی
234,greeting_greet,حالت خویه سلامتی
235,greeting_greet,خوبی سلامتی
236,greeting_greet,چطوری سلامتی
237,greeting_greet,میزونی
238,greeting_greet,چاکریم
239,greeting_greet,چطوری
240,greeting_greet,چطورین
241,greeting_greet,چطوری خوبی
242,greeting_greet,کار و بار خوبه
243,greeting_greet,احوال شما
244,greeting_greet,بهتری
245,greeting_greet,چخبر
246,greeting_greet,چه طوری
247,greeting_greet,خوفی
248,greeting_greet,خوبید
249,greeting_greet,خداقوت
250,greeting_greet,خذا قوت
251,greeting_greet,خسته نباشید
252,greeting_greet,خسته نباشی
253,greeting_greet,وقت بخیر
254,greeting_greet,روز بخیر
255,greeting_greet,روز به خیر
256,greeting_greet,روزتون بخیر
257,greeting_greet,صبح به خیر
258,greeting_greet,شبتون بخیر
259,greeting_greet,ظهر بخیر
260,greeting_greet,عصرتون بخیر
261,greeting_greet,روز خوش
262,greeting_greet,شب خوش
263,greeting_greet,شبخوش
479,deny,این نادرست است
480,deny,این اطلاعات غلط است
481,deny,اشتباه می‌گویید
482,deny,این ادعا نادرست است
483,deny,این پاسخ صحیح نیست
484,deny,این نتیجه غلط است
485,deny,این نظر اشتباه است
486,deny,این مطلب نادرست است
487,deny,این اطلاعات صحیح نمی‌باشد
488,deny,این جواب نادرست است
489,deny,شما درست نمی‌گویید
490,deny,این ارزیابی اشتباه است
491,deny,این اطلاعات درست نمی‌باشد
492,deny,درست نیست
493,deny,این درست نمی‌باشد
494,deny,صحت ندارد
495,deny,این اشتباه می‌باشد
496,deny,این گفته نادرست است
497,deny,صحیح نمی‌باشد
498,deny,این برداشت غلط است
499,deny,این اطلاعات غلط می‌باشد
500,deny,این نظر نادرست می‌باشد
501,deny,این پاسخ درست نیست
502,deny,این اطلاعات نادرست می‌باشد
503,deny,این گفته صحیح نمی‌باشد
504,deny,این ادعا صحیح نیست
505,deny,درست نیست
506,deny,این اشتباهه
507,deny,نادرسته
508,deny,غلط گفتی
509,deny,این صحیح نیست
510,deny,اشتباه می‌کنی
511,deny,غلطه دیگه
512,deny,این غلطه، اشتباه گفتی
513,deny,اشتباهه این
514,deny,این درسته نیست، اشتباهه
515,deny,این حرفت غلطه
516,deny,نه، درست نیست
517,deny,حرفت درسته نیست
518,deny,این نادرسته
519,deny,نه، این اشتباهه
520,deny,نه، این غلطه
521,deny,این اشتباهه، باور کن
522,deny,داری اشتباه می‌گی
523,deny,این جواب غلطه
524,deny,حرفت اشتباهه
525,deny,این چیزی که گفتی درست نیست
526,deny,اشتباهه
527,deny,نادرسته
528,deny,درست نیست
529,deny,نه، اشتباهه
530,deny,غلط گفتی
531,deny,درسته نیست
532,deny,این غلطه
533,deny,نادرسته
534,deny,غلط گفتی
535,deny,اشتباه می‌کنی
536,deny,صحیح نیست
537,deny,اشتباه متوجه شدی
538,deny,درست نیست این
539,deny,اشتباهه این
540,deny,غلطه دیگه
541,deny,این اشتباهه
542,deny,نه، نادرسته
543,deny,این درسته نیست
544,deny,نه، این غلطه
545,deny,نادرسته این
546,deny,نه، اشتباه گفتی
547,deny,این حرف غلطه
548,deny,این اشتباهه
549,deny,نه، صحیح نیست
550,deny,حرفت غلطه
551,deny,این غلطه، قبول ندارم
552,deny,درست نمی‌گی
553,deny,نادرست گفتی
554,deny,این اشتباهه، مطمئنم
555,deny,غلط گفتی، نه
556,deny,این غلطه، نه
557,deny,نه، اینطوری نیست، غلطه
558,deny,نتیجه ای که گفتی غلطه، مطمئنم
559,deny,فکر نمی‌کنم درست باشه، اشتباهه
560,deny,اینجوری نیست که میگی، اشتباهه
561,deny,حرفت صحیح نیست، غلطه
562,deny,بررسی کردم، درست نیست، اشتباهه
563,deny,به نظرم اشتباهه، اینطوری نیست
564,deny,اینطوری نیست که گفتی، غلطه
565,deny,به نظرم اشتباهه، درست نمیگی
566,deny,نه، اشتباهه، دقیق بررسی کن
567,deny,به نظر من این اشتباهه، اینطوری نیست
568,deny,اینطوری که میگی غلطه
569,deny,کاملاً مطمئنم که اشتباهه، درست نیست
570,deny,این حرف اشتباهه، باورم نمیشه
571,deny,نتیجه‌گیری تو غلطه، اشتباهه
572,deny,حرفت اصلاً درست نیست، اشتباهه
573,deny,نمی‌تونم قبول کنم، غلطه
574,deny,اینطور نیست که گفتی، اشتباهه
575,deny,نتیجه‌گیریت صحیح نیست، غلطه
576,deny,به نظرم درست نمیگی، غلطه
577,deny,اصلاً اینطور نیست، اشتباهه
578,deny,کاملاً نادرسته، اشتباهه
579,deny,حرفت متناقضه، اشتباهه
580,deny,این حرف درست نیست، اشتباهه
581,deny,نتیجه‌گیری تو غلطه، این اشتباهه
582,deny,نه، این حرف نادرسته، اشتباهه
583,deny,فکر نمی‌کنم این درست باشه، غلطه
584,deny,به نظرم این اشتباهه، اینطوری نیست
585,deny,بررسی کردم، نتیجه‌گیریت اشتباهه، غلطه
586,deny,نه این نیست
587,deny,نه
588,deny,نه این اشتباهه
589,deny,نه این غلطه
590,deny,نه من اینو نگفتم
591,deny,نه کدملی من این نیست
592,deny,نع
1048,greeting_goodbye,خداحافظی می‌کنم
1049,greeting_goodbye,با اجازه شما خداحافظی می‌کنم
1050,greeting_goodbye,به امید دیدار، خداحافظ
1051,greeting_goodbye,موقتا خداحافظی می‌کنم
1052,greeting_goodbye,فعلا خداحافظ
1053,greeting_goodbye,تا دیدار بعدی، خداحافظ
1054,greeting_goodbye,تا وقت دیگر، خداحافظ
1055,greeting_goodbye,فعلاً بدرود
1056,greeting_goodbye,تا بعد، خداحافظ
1057,greeting_goodbye,بدرود تا دیدار بعدی
1058,greeting_goodbye,به امید دیدار دوباره، خداحافظ
1059,greeting_goodbye,برای اکنون خداحافظی می‌کنم
1060,greeting_goodbye,مجبورم خداحافظی کنم
1061,greeting_goodbye,به ناچار خداحافظی می‌کنم
1062,greeting_goodbye,دیدار به وقت دیگر، خداحافظ
1063,greeting_goodbye,با عرض خداحافظی
1064,greeting_goodbye,تا بعد، خدا نگهدار
1065,greeting_goodbye,با احترام، خداحافظ
1066,greeting_goodbye,تا زمانی دیگر، بدرود
1067,greeting_goodbye,فعلاً خدا نگهدار
1068,greeting_goodbye,باید خداحافظی کنم
1069,greeting_goodbye,ناچار به خداحافظی هستم
1070,greeting_goodbye,خدا یار شما، خداحافظ
1071,greeting_goodbye,باید از شما خداحافظی کنم
1072,greeting_goodbye,فعلاً تا دیدار بعدی، خداحافظ
1073,greeting_goodbye,خدافظ
1074,greeting_goodbye,فعلاً بای
1075,greeting_goodbye,موفق باشی، بای
1076,greeting_goodbye,بدرود
1077,greeting_goodbye,به امید دیدار، بای
1078,greeting_goodbye,تا بعد، خدافظ
1079,greeting_goodbye,وقت رفتنه، خدافظ
1080,greeting_goodbye,فعلاً خدافظی
1081,greeting_goodbye,بای بای
1082,greeting_goodbye,دیدار به وقت دیگه، خدافظ
1083,greeting_goodbye,تا بعدی، بای
1084,greeting_goodbye,فعلاً بدرود
1085,greeting_goodbye,تا فرصت بعد، بای
1086,greeting_goodbye,باید برم، خدافظ
1087,greeting_goodbye,موفق باشی، خدافظ
1088,greeting_goodbye,تا دیدار بعدی، بای بای
